IATA,AIRPORT,CITY,STATE,LATITUDE,,,,,,Y-coordinate,LONGITUDE,,,,,,X-coordinate
OKC,Will Rogers World,Oklahoma City,OK,35.39308833,-37.61900194,-2.22591361,-4.9656,11.05299662,465,476.0529966,-97.60073389,122.3748433,24.77410941,5.7618,142.7434636,320,462.7434636
OMA,Eppley Airfield,Omaha,NE,41.30251861,-37.61900194,3.68351667,-4.9656,-18.29087038,465,446.7091296,-95.89417306,122.3748433,26.48067024,5.7618,152.5763258,320,472.5763258
ONT,Ontario International,Ontario,CA,34.056,-37.61900194,-3.56300194,-4.9656,17.69244243,465,482.6924424,-117.6011944,122.3748433,4.7736489,5.7618,27.50481023,320,347.5048102
ORD,Chicago O'Hare International,Chicago,IL,41.979595,-37.61900194,4.36059306,-4.9656,-21.6529609,465,443.3470391,-87.90446417,122.3748433,34.47037913,5.7618,198.6114305,320,518.6114305
ORF,Norfolk International,Norfolk,VA,36.89461111,-37.61900194,-0.72439083,-4.9656,3.597035105,465,468.5970351,-76.20122222,122.3748433,46.17362108,5.7618,266.0431699,320,586.0431699
PBI,Palm Beach International,West Palm Beach,FL,26.68316194,-37.61900194,-10.93584,-4.9656,54.3030071,465,519.3030071,-80.09559417,122.3748433,42.27924913,5.7618,243.6045776,320,563.6045776
PDX,Portland Intl,Portland,OR,45.58872222,-37.61900194,7.96972028,-4.9656,-39.57444302,465,425.425557,-122.5975,122.3748433,-0.2226567,5.7618,-1.282903374,320,318.7170966
PHL,Philadelphia Intl,Philadelphia,PA,39.87195278,-37.61900194,2.25295084,-4.9656,-11.18725269,465,453.8127473,-75.24114083,122.3748433,47.13370247,5.7618,271.5749669,320,591.5749669
PHX,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-37.61900194,-4.18483527,-4.9656,20.78021802,465,485.780218,-112.0080556,122.3748433,10.3667877,5.7618,59.73135737,320,379.7313574
PIT,Pittsburgh International,Pittsburgh,PA,40.49146583,-37.61900194,2.87246389,-4.9656,-14.26350669,465,450.7364933,-80.23287083,122.3748433,42.14197247,5.7618,242.813617,320,562.813617
